label,alpha,alpha_c,cell,time,q,abs_q,hp_edge,hp_ahead_max,hp_ahead_energy
h001_k5_afull,1.0,0.0543103585713276,0,0.0,-0.002377728294224298,0.002377728294224298,0.0026182562735470385,7.199984915679235e-05,6.362425512200976e-09
h001_k5_afull,1.0,0.0543103585713276,1,0.01,-1.0648791418967074e-12,1.0648791418967074e-12,0.0019902351253444405,4.6221799715292865e-05,2.6239457828098106e-09
h001_k5_afull,1.0,0.0543103585713276,2,0.02,1.0376589106193823e-10,1.0376589106193823e-10,0.0008354339087933286,3.697670261746948e-05,1.6809197041686428e-09
h001_k5_afull,1.0,0.0543103585713276,3,0.03,-4.672295401053281e-11,4.672295401053281e-11,0.0016943158181799154,4.8764376577693564e-05,2.9214289631357377e-09
h001_k5_afull,1.0,0.0543103585713276,4,0.04,-1.9118651974070477e-12,1.9118651974070477e-12,0.0005631269771501014,2.821470840630924e-05,9.79071780959229e-10
h001_k5_afull,1.0,0.0543103585713276,5,0.05,1.196629058862475e-12,1.196629058862475e-12,0.0013618339089464912,3.8307804240846314e-05,1.8028571408142627e-09
h001_k5_afull,1.0,0.0543103585713276,6,0.06,-4.4637672247729854e-11,4.4637672247729854e-11,0.0005692397827360073,1.6523452898892367e-05,3.3596009871308536e-10
h001_k5_afull,1.0,0.0543103585713276,7,0.07,9.388485702841592e-11,9.388485702841592e-11,0.001021651941235693,2.6052601883307643e-05,8.337728536536951e-10
h001_k5_afull,1.0,0.0543103585713276,8,0.08,-6.17289350603005e-11,6.17289350603005e-11,0.0006189898051829088,3.3851022420564034e-06,1.4168566724526152e-11
h001_k5_afull,1.0,0.0543103585713276,9,0.09,-9.595926343027722e-11,9.595926343027722e-11,0.0007183798479951575,1.2242361406138615e-05,1.840422989430117e-10
h001_k5_afull,1.0,0.0543103585713276,10,0.1,-5.005487571738826e-11,5.005487571738826e-11,0.0008690810904382929,1.122784719993366e-05,1.546415339182304e-10
h001_k5_afull,1.0,0.0543103585713276,11,0.11,-3.5480228347331555e-11,3.5480228347331555e-11,0.00044848043682798634,3.889489386748541e-06,1.863143724370443e-11
h001_k5_afull,1.0,0.0543103585713276,12,0.12,1.0621382012842087e-10,1.0621382012842087e-10,0.0008758332124343559,1.976645090926811e-05,4.797961767456907e-10
h001_k5_afull,1.0,0.0543103585713276,13,0.13,1.0743260675603189e-10,1.0743260675603189e-10,0.0019902522440206653,5.811018921416754e-05,4.14762924455597e-09
h001_k5_afull,1.0,0.0543103585713276,14,0.14,4.54590196594714e-11,4.54590196594714e-11,0.001077023278519808,1.2398797355600643e-05,1.892026123098152e-10
h001_k5_afull,1.0,0.0543103585713276,15,0.15,-6.743629802795012e-11,6.743629802795012e-11,0.000595328038942406,2.0594820344422634e-05,5.208417770460549e-10
h001_k5_afull,1.0,0.0543103585713276,16,0.16,-1.0298949085045528e-10,1.0298949085045528e-10,0.0015908926210788155,4.2915793744477824e-05,2.2619181036121958e-09
h001_k5_afull,1.0,0.0543103585713276,17,0.17,4.525859049510361e-11,4.525859049510361e-11,0.0008463178519384388,3.5606568751787804e-05,1.5579903138257457e-09
h001_k5_afull,1.0,0.0543103585713276,18,0.18,-5.7028897012742497e-11,5.7028897012742497e-11,0.0011209353871512227,3.170010846839597e-05,1.2346016550301852e-09
h001_k5_afull,1.0,0.0543103585713276,19,0.19,-1.1472967458611271e-10,1.1472967458611271e-10,0.0006414014739553728,1.5569575381941192e-05,2.980712304020439e-10
h001_k5_afull,1.0,0.0543103585713276,20,0.2,1.479046886051008e-10,1.479046886051008e-10,0.0008483045626618032,1.6660433814148876e-05,3.4092646349062234e-10
h001_k5_afull,1.0,0.0543103585713276,21,0.21,6.71086889129837e-11,6.71086889129837e-11,0.0005738863769990781,1.0072723814442605e-05,1.2475895252610373e-10
h001_k5_afull,1.0,0.0543103585713276,22,0.22,1.1096329042246944e-11,1.1096329042246944e-11,0.0007596128009059619,1.3226487666482913e-05,2.1483023648772353e-10
h001_k5_afull,1.0,0.0543103585713276,23,0.23,-5.5688128316588176e-11,5.5688128316588176e-11,0.0006256779373738579,1.7505195125997e-06,3.787432196779203e-12
h001_k5_afull,1.0,0.0543103585713276,24,0.24,1.7391695641142194e-11,1.7391695641142194e-11,0.0002563876929643864,1.0012163770505253e-05,1.2313029834544112e-10
h001_k5_afull,1.0,0.0543103585713276,25,0.25,-2.0721194223904775e-11,2.0721194223904775e-11,0.0004970184498636086,7.2175793029124805e-06,6.391770929638862e-11
h001_k5_afull,1.0,0.0543103585713276,26,0.26,4.3266883402882234e-11,4.3266883402882234e-11,0.0017152577836720628,3.1027844782443936e-05,1.1819021965619465e-09
h001_k5_afull,1.0,0.0543103585713276,27,0.27,-2.407064402399489e-11,2.407064402399489e-11,0.0018550504037757132,6.51786038682129e-05,5.21998613778053e-09
h001_k5_afull,1.0,0.0543103585713276,28,0.28,1.2012921310911723e-12,1.2012921310911723e-12,0.0011881982211496343,3.849396619475678e-05,1.8209430571113572e-09
h001_k5_afull,1.0,0.0543103585713276,29,0.29,5.159217562715479e-12,5.159217562715479e-12,0.0009367524982995458,7.4638495714216834e-06,6.873654471776562e-11
h001_k5_afull,1.0,0.0543103585713276,30,0.3,3.44451126150537e-11,3.44451126150537e-11,0.0007886309020913014,2.7218154333901405e-05,9.098209778470908e-10
h001_k5_afull,1.0,0.0543103585713276,31,0.31,1.0115903094029023e-10,1.0115903094029023e-10,0.0011794402402317671,3.1370052767512297e-05,1.2087509686427537e-09
h001_k5_afull,1.0,0.0543103585713276,32,0.32,-4.2395954585536244e-11,4.2395954585536244e-11,0.000785996914624785,3.364985605978258e-05,1.3918246673226136e-09
h001_k5_afull,1.0,0.0543103585713276,33,0.33,-4.403167126699678e-11,4.403167126699678e-11,0.0006670275092201982,1.617231861898203e-05,3.214363672130471e-10
h001_k5_afull,1.0,0.0543103585713276,34,0.34,-8.871332835003187e-11,8.871332835003187e-11,0.0005518742672122085,1.6217334618919952e-05,3.233723205701001e-10
h001_k5_afull,1.0,0.0543103585713276,35,0.35000000000000003,-1.954771929177021e-11,1.954771929177021e-11,0.0005855406360311687,9.594949207067742e-06,1.1310119176158824e-10
h001_k5_afull,1.0,0.0543103585713276,36,0.36,1.034333139428821e-10,1.034333139428821e-10,0.0005680719843365177,2.0545793976933856e-05,5.18686254364488e-10
h001_k5_afull,1.0,0.0543103585713276,37,0.37,1.8767915200461685e-11,1.8767915200461685e-11,0.0005566550509963295,2.6474477476924113e-06,8.568181654619156e-12
h001_k5_afull,1.0,0.0543103585713276,38,0.38,-7.642561307115783e-11,7.642561307115783e-11,0.0008662254869493229,2.7503687763651425e-06,9.26654429971619e-12
h001_k5_afull,1.0,0.0543103585713276,39,0.39,-7.161919175118284e-11,7.161919175118284e-11,0.000606273792789866,2.415679449723988e-05,7.169117233979488e-10
h001_k5_afull,1.0,0.0543103585713276,40,0.4,-9.091694327186157e-11,9.091694327186157e-11,0.001103761596750809,3.189332047727091e-05,1.248966482187614e-09
h001_k5_afull,1.0,0.0543103585713276,41,0.41000000000000003,-9.957882191350895e-11,9.957882191350895e-11,0.0017860210395776448,5.037560346586487e-05,3.117041961423643e-09
h001_k5_afull,1.0,0.0543103585713276,42,0.42,6.293705183749165e-11,6.293705183749165e-11,0.0017919142913850998,6.463291522106197e-05,5.132820073287177e-09
h001_k5_afull,1.0,0.0543103585713276,43,0.43,2.2214737590686012e-11,2.2214737590686012e-11,0.0004736644513849255,1.8739485909321017e-05,4.3203351404329955e-10
h001_k5_afull,1.0,0.0543103585713276,44,0.44,1.000110171544763e-10,1.000110171544763e-10,0.0008120784254548755,1.3967756902862093e-06,2.4282516790263784e-12
h001_k5_afull,1.0,0.0543103585713276,45,0.45,-1.0706767265313e-10,1.0706767265313e-10,0.0011357140865729412,3.761229666006311e-05,1.737580217038134e-09
h001_k5_afull,1.0,0.0543103585713276,46,0.46,-1.1156892689443212e-10,1.1156892689443212e-10,0.0008019159588946081,2.350058263020829e-05,6.786308268457691e-10
h001_k5_afull,1.0,0.0543103585713276,47,0.47000000000000003,-7.31204289011831e-11,7.31204289011831e-11,0.0007422757125715658,2.924038022316585e-05,1.0506247246915486e-09
h001_k5_afull,1.0,0.0543103585713276,48,0.48,5.395293340240172e-11,5.395293340240172e-11,0.00017551843226691602,6.916973318395192e-06,5.886710843997464e-11
h001_k5_afull,1.0,0.0543103585713276,49,0.49,3.8963859591047145e-11,3.8963859591047145e-11,0.0007566236122580888,1.789810068023805e-05,3.93474337782291e-10
h001_k5_afull,1.0,0.0543103585713276,50,0.5,3.9234829957417866e-11,3.9234829957417866e-11,0.0007081569535730613,2.4757695414255237e-05,7.533919013425917e-10
h001_k5_afull,1.0,0.0543103585713276,51,0.51,3.346228827881548e-11,3.346228827881548e-11,0.00047176480454394677,1.6065343517978524e-05,3.1684215895747333e-10
h001_k5_afull,1.0,0.0543103585713276,52,0.52,-7.584947887872076e-12,7.584947887872076e-12,0.0011407647944682402,3.359977240861777e-05,1.3863396555551993e-09
h001_k5_afull,1.0,0.0543103585713276,53,0.53,-1.486351037909006e-11,1.486351037909006e-11,0.0004590123708158243,1.4772413765675802e-05,2.681767593874597e-10
h001_k5_afull,1.0,0.0543103585713276,54,0.54,2.9308668990021824e-11,2.9308668990021824e-11,0.0007707800867190033,7.63057818877523e-06,7.166352277392831e-11
h001_k5_afull,1.0,0.0543103585713276,55,0.55,-9.228860246000316e-11,9.228860246000316e-11,0.0020141065763944815,6.047737371921955e-05,4.491755051351616e-09
h001_k5_afull,1.0,0.0543103585713276,56,0.56,-5.3319990404258194e-11,5.3319990404258194e-11,0.0015899048291667223,4.998515160212119e-05,3.069650354029293e-09
h001_k5_afull,1.0,0.0543103585713276,57,0.5700000000000001,7.028936064917488e-11,7.028936064917488e-11,0.0016664908781134032,6.123817685770918e-05,4.608899342387003e-09
h001_k5_afull,1.0,0.0543103585713276,58,0.58,-3.2714723345681623e-11,3.2714723345681623e-11,0.0002509693031587734,1.3305644850149589e-06,2.218792427068383e-12
h001_k5_afull,1.0,0.0543103585713276,59,0.59,7.103454722221306e-11,7.103454722221306e-11,0.0005946521789228971,8.043968538948762e-06,7.937411211411886e-11
h001_k5_afull,1.0,0.0543103585713276,60,0.6,3.312999169707148e-11,3.312999169707148e-11,0.0011131384832991586,3.500707629985532e-05,1.5053070148142722e-09
h001_k5_afull,1.0,0.0543103585713276,61,0.61,7.75358613034835e-11,7.75358613034835e-11,0.0006356518947757541,2.560056385645804e-05,8.053944844501831e-10
h001_k5_afull,1.0,0.0543103585713276,62,0.62,-6.383114241163834e-11,6.383114241163834e-11,0.0005094039810450228,2.032341764155176e-06,5.053232363065235e-12
h001_k5_afull,1.0,0.0543103585713276,63,0.63,-4.459233167181803e-11,4.459233167181803e-11,0.0014149390351170495,4.471130664712549e-05,2.455543157227998e-09
h001_k5_afull,1.0,0.0543103585713276,64,0.64,2.079024485120845e-11,2.079024485120845e-11,0.0005641951409049012,9.31174736462745e-06,1.0623379627975477e-10
h001_k5_afull,1.0,0.0543103585713276,65,0.65,7.922207068957951e-11,7.922207068957951e-11,0.0004975116801148012,1.4353067251034453e-05,2.530088101014758e-10
h001_k5_afull,1.0,0.0543103585713276,66,0.66,3.0592423288632736e-11,3.0592423288632736e-11,0.000445697056540813,8.120680993864332e-06,8.10193931057481e-11
h001_k5_afull,1.0,0.0543103585713276,67,0.67,1.934811956916943e-12,1.934811956916943e-12,0.0017287843812909879,5.451598045114529e-05,3.650719474258811e-09
h001_k5_afull,1.0,0.0543103585713276,68,0.68,1.0931301436950536e-11,1.0931301436950536e-11,0.00044334287299573223,1.2832794109113853e-07,2.643497845891967e-14
h001_k5_afull,1.0,0.0543103585713276,69,0.6900000000000001,-5.292346552318583e-11,5.292346552318583e-11,0.0007626226938451647,1.3456000972020127e-05,2.2222994320355006e-10
h001_k5_afull,1.0,0.0543103585713276,70,0.7000000000000001,-4.1881741239153947e-11,4.1881741239153947e-11,0.0024654600017735818,7.54574858197901e-05,6.994185503581969e-09
h001_k5_afull,1.0,0.0543103585713276,71,0.71,7.44618471157539e-11,7.44618471157539e-11,0.0015228598908504634,5.386185004491322e-05,3.566069116380286e-09
h001_k5_afull,1.0,0.0543103585713276,72,0.72,3.829177543080396e-11,3.829177543080396e-11,0.0009785981003137356,3.7908713809388906e-05,1.7662877981193338e-09
h001_k5_afull,1.0,0.0543103585713276,73,0.73,3.972591667514985e-11,3.972591667514985e-11,0.0005673037473073287,6.427006977360952e-06,5.0932967514286194e-11
h001_k5_afull,1.0,0.0543103585713276,74,0.74,4.41400127169575e-11,4.41400127169575e-11,0.0014789278563600275,4.5559007412388786e-05,2.54894022406001e-09
h001_k5_afull,1.0,0.0543103585713276,75,0.75,9.679630827343771e-11,9.679630827343771e-11,0.0004916022394852963,8.643333308647938e-06,9.15843298802544e-11
h001_k5_afull,1.0,0.0543103585713276,76,0.76,-3.8270902018213565e-11,3.8270902018213565e-11,0.0014360609422690732,3.89178557266251e-05,1.8598601290121666e-09
h001_k5_afull,1.0,0.0543103585713276,77,0.77,-2.053932750874926e-11,2.053932750874926e-11,0.00019388234589517287,1.017800533769602e-05,1.2740317591162965e-10
h001_k5_afull,1.0,0.0543103585713276,78,0.78,-1.7266597602660222e-11,1.7266597602660222e-11,0.0006120749936706429,2.0279830477593477e-05,5.052790024197779e-10
h001_k5_afull,1.0,0.0543103585713276,79,0.79,-3.084809057501969e-11,3.084809057501969e-11,0.0007498369164068637,2.0539452383524163e-05,5.178742780780816e-10
h001_k5_afull,1.0,0.0543103585713276,80,0.8,-3.871190840760638e-11,3.871190840760638e-11,0.0014453964933989856,3.7972370860977956e-05,1.77033522453677e-09
h001_k5_afull,1.0,0.0543103585713276,81,0.81,6.289776840096191e-11,6.289776840096191e-11,0.0008666966792677364,2.943030190449461e-05,1.0641775153978163e-09
h001_k5_afull,1.0,0.0543103585713276,82,0.8200000000000001,-2.6641686740828258e-11,2.6641686740828258e-11,0.0015423910901888312,5.12314412502224e-05,3.2246758394191043e-09
h001_k5_afull,1.0,0.0543103585713276,83,0.8300000000000001,-1.1786493303708387e-10,1.1786493303708387e-10,0.00091948357699993,1.3324709352618113e-05,2.1766106466237449e-10
h001_k5_afull,1.0,0.0543103585713276,84,0.84,-3.5760489892639608e-12,3.5760489892639608e-12,0.001689719837046077,4.847038673822545e-05,2.885448336399852e-09
h001_k5_afull,1.0,0.0543103585713276,85,0.85,1.5668801271653127e-11,1.5668801271653127e-11,0.0017840075141790368,5.839345088779644e-05,4.189841046614394e-09
h001_k5_afull,1.0,0.0543103585713276,86,0.86,6.601720114584458e-11,6.601720114584458e-11,0.0023819516849261646,7.960300148456737e-05,7.785853787055655e-09
h001_k5_afull,1.0,0.0543103585713276,87,0.87,-9.168784080495346e-11,9.168784080495346e-11,0.0011922083046803941,1.1912965145305692e-05,1.7354193935778727e-10
h001_k5_afull,1.0,0.0543103585713276,88,0.88,3.149631841144543e-12,3.149631841144543e-12,0.0005817320136424552,6.698237415337061e-06,5.5075777132387424e-11
h001_k5_afull,1.0,0.0543103585713276,89,0.89,5.865194893889085e-11,5.865194893889085e-11,0.0009395349206968717,2.2841881697600703e-05,6.405910471715394e-10
h001_k5_afull,1.0,0.0543103585713276,90,0.9,-9.532332003814661e-11,9.532332003814661e-11,0.00022154013733598964,1.0148957697099916e-05,1.2665457657174843e-10
h001_k5_afull,1.0,0.0543103585713276,91,0.91,-3.317636549054863e-11,3.317636549054863e-11,0.001453186570978908,4.285389569690703e-05,2.2557367005297605e-09
h001_k5_afull,1.0,0.0543103585713276,92,0.92,-2.2750276597489905e-12,2.2750276597489905e-12,0.0009269961720600409,1.2423967990457536e-05,1.8916670395890297e-10
h001_k5_afull,1.0,0.0543103585713276,93,0.93,8.122535993413879e-11,8.122535993413879e-11,0.0004730152440460098,5.592758325001607e-06,3.837327547506433e-11
h001_k5_afull,1.0,0.0543103585713276,94,0.9400000000000001,-1.444125858935004e-10,1.444125858935004e-10,0.0002323981398395111,6.28413901827745e-07,4.866464875471056e-13
h001_k5_afull,1.0,0.0543103585713276,95,0.9500000000000001,8.307389932210585e-12,8.307389932210585e-12,0.0018858030793560405,5.388408841461027e-05,3.56606378811247e-09
h001_k5_afull,1.0,0.0543103585713276,96,0.96,-6.347216917096561e-11,6.347216917096561e-11,0.001713168561139541,5.775086167805571e-05,4.09840940103544e-09
h001_k5_afull,1.0,0.0543103585713276,97,0.97,-7.455752410855804e-11,7.455752410855804e-11,0.0005449155728812697,1.0185084079467054e-05,1.2774798607186585e-10
h001_k5_afull,1.0,0.0543103585713276,98,0.98,3.834872708014664e-11,3.834872708014664e-11,0.0003241684214355408,1.0900860134746221e-06,1.448308468948912e-12
h001_k5_afull,1.0,0.0543103585713276,99,0.99,-3.329323004352264e-11,3.329323004352264e-11,0.0033095637894078227,9.238867115708971e-05,1.0482393229111538e-08
h001_k5_afull,1.0,0.0543103585713276,100,1.0,-8.643747189903718e-11,8.643747189903718e-11,0.0012465720209486482,5.3458560957478746e-05,3.5120661777776715e-09
h001_k5_afull,1.0,0.0543103585713276,101,1.01,-1.0114600861510156e-10,1.0114600861510156e-10,0.0011050515961594754,3.575746411020527e-05,1.571393380514952e-09
h001_k5_afull,1.0,0.0543103585713276,102,1.02,1.8916766780395153e-11,1.8916766780395153e-11,0.0006234383566812472,3.5563092622554957e-06,1.5441740613263667e-11
h001_k5_afull,1.0,0.0543103585713276,103,1.03,-1.2345803283224203e-10,1.2345803283224203e-10,0.0005240017737504128,1.0258451185920157e-05,1.2921472201410892e-10
h001_k5_afull,1.0,0.0543103585713276,104,1.04,-4.024517725369561e-11,4.024517725369561e-11,0.0015296563187990983,3.808251348926099e-05,1.7805764017271847e-09
h001_k5_afull,1.0,0.0543103585713276,105,1.05,4.595349524082887e-11,4.595349524082887e-11,0.0005052984883260845,1.6414087186806978e-05,3.311999804536326e-10
h001_k5_afull,1.0,0.0543103585713276,106,1.06,-4.1356874576434915e-11,4.1356874576434915e-11,0.0004346797677288911,1.3334749911431987e-05,2.1848612669435318e-10
h001_k5_afull,1.0,0.0543103585713276,107,1.07,-2.213292792313873e-11,2.213292792313873e-11,0.0007823832008938065,2.0243335022614237e-05,5.030662590275961e-10
h001_k5_afull,1.0,0.0543103585713276,108,1.08,-3.3184562357128217e-11,3.3184562357128217e-11,0.0002555796876799399,3.5862233433686975e-06,1.5829536694632282e-11
h001_k5_afull,1.0,0.0543103585713276,109,1.09,-1.1473822591904007e-10,1.1473822591904007e-10,0.001991564697427279,5.344757674058774e-05,3.5080835285699933e-09
h001_k5_afull,1.0,0.0543103585713276,110,1.1,-7.29999318372504e-11,7.29999318372504e-11,0.001141575036697369,4.405534548883204e-05,2.3857681752168483e-09
h001_k5_afull,1.0,0.0543103585713276,111,1.11,1.0297623989413349e-10,1.0297623989413349e-10,0.0024117120801709357,7.286040619106223e-05,6.522023329629524e-09
h001_k5_afull,1.0,0.0543103585713276,112,1.12,-9.218033720235011e-11,9.218033720235011e-11,0.0015129445090025808,7.672345780073285e-08,9.043363182124624e-15
h001_k5_afull,1.0,0.0543103585713276,113,1.1300000000000001,-6.686029555252448e-11,6.686029555252448e-11,0.0017832091245303635,5.6485801769878014e-05,3.91858272454599e-09
h001_k5_afull,1.0,0.0543103585713276,114,1.1400000000000001,-1.5839349959672483e-12,1.5839349959672483e-12,0.0024496394016205523,7.552112354143117e-05,7.006808230419498e-09
h001_k5_afull,1.0,0.0543103585713276,115,1.1500000000000001,-1.8823813493183683e-11,1.8823813493183683e-11,0.0007162173184427843,3.541215716915634e-05,1.5427653602592806e-09
h001_k5_afull,1.0,0.0543103585713276,116,1.16,1.175004783412776e-10,1.175004783412776e-10,0.001253812075365355,3.667787816095554e-05,1.6529957027332908e-09
