label,beta,cell,time,q,abs_q,hp_edge,hp_ahead_max,hp_ahead_energy
h001_k5_amplified,4.0,0,0.0,-0.009510913166656032,0.009510913166656032,0.009751441156219955,0.0003056719837759348,1.1477421874613927e-07
h001_k5_amplified,4.0,1,0.01,0.010165211705528789,0.010165211705528789,0.011971199156116937,0.0003965585823897201,1.9346500938508357e-07
h001_k5_amplified,4.0,2,0.02,-0.01045595630840493,0.01045595630840493,0.011187702041755865,0.00045083992057253544,2.504868810367687e-07
h001_k5_amplified,4.0,3,0.03,0.011165307553711742,0.011165307553711742,0.012692908490251408,0.0004694819863428752,2.7149511379025434e-07
h001_k5_amplified,4.0,4,0.04,-0.011448242296050976,0.011448242296050976,0.012035529078110434,0.0005069963931428361,3.1699418640393993e-07
h001_k5_amplified,4.0,5,0.05,0.012220808079032051,0.012220808079032051,0.013593367546313474,0.0005177810134040327,3.303805069875049e-07
h001_k5_amplified,4.0,6,0.06,-0.012494939164985664,0.012494939164985664,0.012984544374010046,0.0005603017507820318,3.8732019799742484e-07
h001_k5_amplified,4.0,7,0.07,0.013336747349273901,0.013336747349273901,0.014597496124699386,0.0005692230803096383,3.9944749475262033e-07
h001_k5_amplified,4.0,8,0.08,-0.013592310773288607,0.013592310773288607,0.01402748812592238,0.0006202745520851408,4.748815630124173e-07
h001_k5_amplified,4.0,9,0.09,0.014507033982559403,0.014507033982559403,0.015699798420099158,0.0006277260573037625,4.859886586782631e-07
h001_k5_amplified,4.0,10,0.1,-0.014729975450253818,0.014729975450253818,0.01516799653345129,0.000689255753726147,5.866703678590016e-07
h001_k5_amplified,4.0,11,0.11,0.015719837845480943,0.015719837845480943,0.0168777582053575,0.0006941669867626734,5.946113201702765e-07
h001_k5_amplified,4.0,12,0.12,-0.015878904532555832,0.015878904532555832,0.016740084110791507,0.0007787112528994624,7.492358462688816e-07
h001_k5_amplified,4.0,13,0.13,0.01692731845910895,0.01692731845910895,0.016559087866394404,0.0007258042231271757,6.505337290749878e-07
h001_k5_amplified,4.0,14,0.14,-0.016972517875953094,0.016972517875953094,0.019797992241363374,0.0008863017105889299,9.70622455347108e-07
h001_k5_amplified,4.0,15,0.15,0.018117051565176345,0.018117051565176345,0.020806932572220677,0.0009369415409951852,1.0849331289675419e-06
h001_k5_amplified,4.0,16,0.16,-0.017732206683477206,0.017732206683477206,0.022555764164828518,0.001124729027001814,1.5658037085301236e-06
h001_k5_amplified,4.0,17,0.17,0.018936827174856688,0.018936827174856688,0.022315110009034522,0.0011070047188238036,1.5171407548935843e-06
h001_k5_amplified,4.0,18,0.18,-0.018347613633153667,0.018347613633153667,0.02346891404766249,0.0012605906358201895,1.9696666159777645e-06
h001_k5_amplified,4.0,19,0.19,0.019626686374475188,0.019626686374475188,0.023203471151335232,0.0012113718858936268,1.8186095859894147e-06
h001_k5_amplified,4.0,20,0.2,-0.01873849030847681,0.01873849030847681,0.024568698116784027,0.0013736555138995118,2.34086980204659e-06
h001_k5_amplified,4.0,21,0.21,0.019935131652970627,0.019935131652970627,0.024353210448863252,0.0013194724823585662,2.159479871446362e-06
h001_k5_amplified,4.0,22,0.22,-0.01883530739918006,0.01883530739918006,0.025703205882152733,0.001496706562131113,2.781472128147368e-06
h001_k5_amplified,4.0,23,0.23,0.020039166033836688,0.020039166033836688,0.025341233730704894,0.001429280344302019,2.53613690182129e-06
h001_k5_amplified,4.0,24,0.24,-0.018731625456911906,0.018731625456911906,0.026167912753786517,0.0015982504528698467,3.1746329041689217e-06
h001_k5_amplified,4.0,25,0.25,0.019941015248120912,0.019941015248120912,0.027379796270753647,0.001556233661452922,3.0084905561876776e-06
h001_k5_amplified,4.0,26,0.26,-0.018310961814045054,0.018310961814045054,0.026068789927938676,0.0017300262115719225,3.7245192389392424e-06
h001_k5_amplified,4.0,27,0.27,0.019479791024551572,0.019479791024551572,0.026771682208670388,0.0015893967085536672,3.140980769096223e-06
h001_k5_amplified,4.0,28,0.28,-0.017392328236571643,0.017392328236571643,0.028228086832669284,0.0018457320577275043,4.2403633605814815e-06
h001_k5_amplified,4.0,29,0.29,0.01842628836575344,0.01842628836575344,0.02970189246172456,0.0017987870484016833,4.0260693295112355e-06
h001_k5_amplified,4.0,30,0.3,-0.015463918154481362,0.015463918154481362,0.029920751397165418,0.0021124506711702015,5.563558578944633e-06
h001_k5_amplified,4.0,31,0.31,0.016422589426817995,0.016422589426817995,0.030070591056378184,0.0019876471635185337,4.925287274324256e-06
h001_k5_amplified,4.0,32,0.32,-0.013149238311285264,0.013149238311285264,0.029295551028776737,0.0022088283356812557,6.091814687863508e-06
h001_k5_amplified,4.0,33,0.33,0.013997545929009573,0.013997545929009573,0.029170491777950197,0.002006417277433299,5.02321966905004e-06
h001_k5_amplified,4.0,34,0.34,-0.010541133270532802,0.010541133270532802,0.02840722092624624,0.002161789084180218,5.836436125971395e-06
h001_k5_amplified,4.0,35,0.35000000000000003,0.011241456805036118,0.011241456805036118,0.028205708127681133,0.001932503738583705,4.659090813053611e-06
h001_k5_amplified,4.0,36,0.36,-0.007664691721032108,0.007664691721032108,0.027658780472940916,0.002050925491775394,5.250162109881798e-06
h001_k5_amplified,4.0,37,0.37,0.008352642908205176,0.008352642908205176,0.026141955796791662,0.0017909405238088407,3.99933880804736e-06
h001_k5_amplified,4.0,38,0.38,-0.004828935818573138,0.004828935818573138,0.026782823961685995,0.0018489910505128996,4.2615700852607275e-06
h001_k5_amplified,4.0,39,0.39,0.005481142149023077,0.005481142149023077,0.025663282926333856,0.001660776612811572,3.434385077294593e-06
h001_k5_amplified,4.0,40,0.4,-0.002109910755418034,0.002109910755418034,0.023634018189473652,0.0016158030720700581,3.251477193211115e-06
h001_k5_amplified,4.0,41,0.41000000000000003,0.002683492032867695,0.002683492032867695,0.022341076402778316,0.0013718307053775134,2.3397113671567736e-06
h001_k5_amplified,4.0,42,0.42,0.0007212472743892643,0.0007212472743892643,0.02243960557572902,0.0013613665275356158,2.3027717415529788e-06
h001_k5_amplified,4.0,43,0.43,-0.00024983837266723437,0.00024983837266723437,0.02168094180931233,0.0012093582152301378,1.8146705429936807e-06
h001_k5_amplified,4.0,44,0.44,0.00397125191634299,0.00397125191634299,0.020688542812098608,0.0011977318221062215,1.780093262258139e-06
h001_k5_amplified,4.0,45,0.45,-0.0035261866681340595,0.0035261866681340595,0.018487086349837478,0.0009987128654875704,1.2361312074694474e-06
h001_k5_amplified,4.0,46,0.46,0.006902895197638401,0.006902895197638401,0.016240564684509476,0.0008912929917054655,9.84216488080733e-07
h001_k5_amplified,4.0,47,0.47000000000000003,-0.0064931292816671005,0.0064931292816671005,0.013572425930752282,0.0006786296840677161,5.695860304720986e-07
h001_k5_amplified,4.0,48,0.48,0.009491904666467366,0.009491904666467366,0.011075834648820837,0.0005495318171684721,3.73239538289986e-07
h001_k5_amplified,4.0,49,0.49,-0.009268592135760523,0.009268592135760523,0.00882813658143382,0.000382710768609759,1.8067172254765568e-07
h001_k5_amplified,4.0,50,0.5,0.012058853861135166,0.012058853861135166,0.005615482139238941,0.0002724321541787761,9.153911451231214e-08
h001_k5_amplified,4.0,51,0.51,-0.012025227929319222,0.012025227929319222,0.002302032206770888,0.00010579245598928024,1.378806552094011e-08
h001_k5_amplified,4.0,52,0.52,0.014836651361584317,0.014836651361584317,0.0012719638128448716,6.434986564593624e-05,5.097348107292698e-09
h001_k5_amplified,4.0,53,0.53,-0.0150130116076959,0.0150130116076959,0.002182895684260269,5.581768250595942e-05,3.822843485228779e-09
h001_k5_amplified,4.0,54,0.54,0.017666182657094666,0.017666182657094666,0.005413134273619573,0.0001536702061891939,2.9009549611888576e-08
h001_k5_amplified,4.0,55,0.55,-0.017992083122573208,0.017992083122573208,0.008626274930257713,0.00029444927149566385,1.0664604380640344e-07
h001_k5_amplified,4.0,56,0.56,0.020726479373334966,0.020726479373334966,0.00991225022497754,0.0003349178232364153,1.3799457034340946e-07
h001_k5_amplified,4.0,57,0.5700000000000001,-0.021164468547134066,0.021164468547134066,0.011635310895134135,0.00044690655587091544,2.460348217090592e-07
h001_k5_amplified,4.0,58,0.58,0.024041227251628675,0.024041227251628675,0.013219802795793253,0.00048029200420893913,2.84107361001327e-07
h001_k5_amplified,4.0,59,0.59,-0.02452783503489582,0.02452783503489582,0.01569321823192581,0.0006448501789596067,5.128896275304627e-07
h001_k5_amplified,4.0,60,0.6,0.02716899235086071,0.02716899235086071,0.01839057554417952,0.0007297255841139808,6.568293901445049e-07
h001_k5_amplified,4.0,61,0.61,-0.027563941489748153,0.027563941489748153,0.020847257550861517,0.0009493926341332573,1.1138885019266453e-06
h001_k5_amplified,4.0,62,0.62,0.029879997831317742,0.029879997831317742,0.023464167238785385,0.0010701749164988795,1.4160590346452847e-06
h001_k5_amplified,4.0,63,0.63,-0.030175626859741934,0.030175626859741934,0.024322002226963152,0.0012804167279779348,2.031399457085671e-06
h001_k5_amplified,4.0,64,0.64,0.03213271221053306,0.03213271221053306,0.02875857926363157,0.0014550715326296277,2.6240909634999145e-06
h001_k5_amplified,4.0,65,0.65,-0.032033077303712375,0.032033077303712375,0.029180603554758735,0.0017821487401279829,3.947668890382278e-06
h001_k5_amplified,4.0,66,0.66,0.03375155351325484,0.03375155351325484,0.03146366908453426,0.001881289796271501,4.402126696451738e-06
h001_k5_amplified,4.0,67,0.67,-0.03335954362793314,0.03335954362793314,0.03246909800870369,0.002247935691810529,6.301076740361817e-06
h001_k5_amplified,4.0,68,0.68,0.03488595275020333,0.03488595275020333,0.036398391799159324,0.002440637951876414,7.433410958783617e-06
h001_k5_amplified,4.0,69,0.6900000000000001,-0.033548354924516265,0.033548354924516265,0.03751554936471621,0.003041873615775973,1.1587672022195117e-05
h001_k5_amplified,4.0,70,0.7000000000000001,0.034715272607796006,0.034715272607796006,0.039543922519596174,0.0032438989228391587,1.3203817999706496e-05
h001_k5_amplified,4.0,71,0.71,-0.032502201163388963,0.032502201163388963,0.039428947428635064,0.0038881782802852355,1.9042918976546405e-05
h001_k5_amplified,4.0,72,0.72,0.033290136118005464,0.033290136118005464,0.04049719361635682,0.003997553637795878,2.0170340495907096e-05
h001_k5_amplified,4.0,73,0.73,-0.02993223870320085,0.02993223870320085,0.04174549055542791,0.004784052467892762,2.8987756179329428e-05
h001_k5_amplified,4.0,74,0.74,0.03017084790110487,0.03017084790110487,0.0423412531938504,0.0048913352720861515,3.0380163300659216e-05
h001_k5_amplified,4.0,75,0.75,-0.024937783286508013,0.024937783286508013,0.046104729212667735,0.00597541278546589,4.551102007573532e-05
h001_k5_amplified,4.0,76,0.76,0.02433326384030421,0.02433326384030421,0.0432989011633216,0.006109827776168287,4.7788968089139184e-05
h001_k5_amplified,4.0,77,0.77,-0.017825675184481624,0.017825675184481624,0.04769224834256512,0.007165845625467393,6.599581993250706e-05
h001_k5_amplified,4.0,78,0.78,0.016531962038593792,0.016531962038593792,0.04542338970461927,0.007319747834407802,6.915399553249227e-05
h001_k5_amplified,4.0,79,0.79,-0.008443512982394829,0.008443512982394829,0.04839092339290408,0.008378300224068758,9.099156436644732e-05
h001_k5_amplified,4.0,80,0.8,0.0065373596728424055,0.0065373596728424055,0.0443008324983223,0.008266043148969556,8.896624431528193e-05
h001_k5_amplified,4.0,81,0.81,0.0019813069482482824,0.0019813069482482824,0.04658538185224396,0.008923215307941813,0.00010393167109526639
h001_k5_amplified,4.0,82,0.8200000000000001,-0.004291441302020879,0.004291441302020879,0.04344986066206589,0.008614307766084621,9.707700452184833e-05
h001_k5_amplified,4.0,83,0.8300000000000001,0.013822340715368218,0.013822340715368218,0.0449019659041669,0.009037472367884328,0.00010695789515770762
h001_k5_amplified,4.0,84,0.84,-0.0163606537611847,0.0163606537611847,0.041114357542796826,0.00844329293321595,9.343438620342135e-05
h001_k5_amplified,4.0,85,0.85,0.025351327836220704,0.025351327836220704,0.03977235006014468,0.008207364217347315,8.82272991416714e-05
h001_k5_amplified,4.0,86,0.86,-0.027734538681657664,0.027734538681657664,0.03648029009494874,0.007202045165541195,6.774005266584869e-05
h001_k5_amplified,4.0,87,0.87,0.03574603124708192,0.03574603124708192,0.03376522317838855,0.006414128682400885,5.35177402738382e-05
h001_k5_amplified,4.0,88,0.88,-0.03793312771340808,0.03793312771340808,0.03158758134549297,0.005266469916353503,3.58317325072919e-05
h001_k5_amplified,4.0,89,0.89,0.04544508017172136,0.04544508017172136,0.027905172630553615,0.0043777839302796984,2.46160792663678e-05
h001_k5_amplified,4.0,90,0.9,-0.047369387204001606,0.047369387204001606,0.023528497525075746,0.0032092696476621967,1.312992885640618e-05
h001_k5_amplified,4.0,91,0.91,0.053586181465463144,0.053586181465463144,0.01877429733228611,0.002302564271187256,6.71401176653675e-06
h001_k5_amplified,4.0,92,0.92,-0.05533732417762458,0.05533732417762458,0.014413002836771951,0.0014591884593191486,2.6751134160317074e-06
h001_k5_amplified,4.0,93,0.93,0.06048338988745636,0.06048338988745636,0.007454238963869248,0.0007645984325145794,7.31524001119149e-07
h001_k5_amplified,4.0,94,0.9400000000000001,-0.06249074858783952,0.06249074858783952,0.0032527508126753515,0.00021869481105559865,5.980292733579832e-08
h001_k5_amplified,4.0,95,0.9500000000000001,0.06689375711298046,0.06689375711298046,0.008449542744108952,0.00017925915727805804,3.928538822488357e-08
h001_k5_amplified,4.0,96,0.96,-0.06897616448312592,0.06897616448312592,0.015653442867171654,0.0005084003803414043,3.1796410607250786e-07
h001_k5_amplified,4.0,97,0.97,0.07329122838764181,0.07329122838764181,0.022248255822772876,0.0008213093035691188,8.314469818852701e-07
h001_k5_amplified,4.0,98,0.98,-0.07427251803107822,0.07427251803107822,0.03092808415012165,0.0014655935045791014,2.657695371612195e-06
h001_k5_amplified,4.0,99,0.99,0.07784867054377576,0.07784867054377576,0.036053026611506424,0.001874088800093962,4.357669311408665e-06
h001_k5_amplified,4.0,100,1.0,-0.07637255060179933,0.07637255060179933,0.043691301470790554,0.0030233455313943536,1.1404337057489378e-05
h001_k5_amplified,4.0,101,1.01,0.07804957701729956,0.07804957701729956,0.0452510880649483,0.0036137631765824243,1.6378887282907037e-05
h001_k5_amplified,4.0,102,1.02,-0.07403135035047062,0.07403135035047062,0.04774627573338203,0.005076622087510076,3.2556966729376636e-05
h001_k5_amplified,4.0,103,1.03,0.07348792602162038,0.07348792602162038,0.04879802162189591,0.005797690790000431,4.273984783207142e-05
h001_k5_amplified,4.0,104,1.04,-0.06687606324428588,0.06687606324428588,0.052980645620121246,0.007662633498296649,7.528361033766577e-05
h001_k5_amplified,4.0,105,1.05,0.06357869428335254,0.06357869428335254,0.05112273949727001,0.008566510123026703,9.493761137175906e-05
h001_k5_amplified,4.0,106,1.06,-0.05516744404896409,0.05516744404896409,0.053543946224742275,0.010368027941564502,0.00014038379262098163
h001_k5_amplified,4.0,107,1.07,0.04934816666723549,0.04934816666723549,0.05203657740577448,0.011210343269516775,0.0001655745464500477
h001_k5_amplified,4.0,108,1.08,-0.03865492805276204,0.03865492805276204,0.05326791670708234,0.013011476658069053,0.0002251385856166847
h001_k5_amplified,4.0,109,1.09,0.030135118699563875,0.030135118699563875,0.05104169599086989,0.013777440750962308,0.00025477468053471374
h001_k5_amplified,4.0,110,1.1,-0.017366893439641255,0.017366893439641255,0.04950714325676016,0.015068599594424218,0.0003075762840100618
