label,alpha,alpha_c,cell,time,unstable_subspace_norm,hp_edge,hp_ahead_max,hp_ahead_energy
h002_k20_rank3_baseline,0.0,0.11578513676636337,0,0.0,0.004118542794204192,0.0022728876417005823,4.74930271732156e-05,2.767991624957142e-09
h002_k20_rank3_baseline,0.0,0.11578513676636337,1,0.02,0.004441195524625167,0.0028888087252662057,6.089997011346275e-05,4.554862100026319e-09
h002_k20_rank3_baseline,0.0,0.11578513676636337,2,0.04,0.004750010592749357,0.002487139383363102,8.541651416670547e-05,8.968353149643264e-09
h002_k20_rank3_baseline,0.0,0.11578513676636337,3,0.06,0.005130263542217647,0.0026903536371855217,6.898643632570605e-05,5.847194490425481e-09
h002_k20_rank3_baseline,0.0,0.11578513676636337,4,0.08,0.005520082749968422,0.0025030981814975492,8.639792428402581e-05,9.17667798066166e-09
h002_k20_rank3_baseline,0.0,0.11578513676636337,5,0.1,0.005981074490238608,0.0026377026103239698,6.936788992162322e-05,5.912232563896902e-09
h002_k20_rank3_baseline,0.0,0.11578513676636337,6,0.12,0.006487294808473046,0.002415257886228833,8.501342794497445e-05,8.88532161376285e-09
h002_k20_rank3_baseline,0.0,0.11578513676636337,7,0.14,0.007057511509333419,0.0029097915346299186,7.693350825975429e-05,7.271937500536872e-09
h002_k20_rank3_baseline,0.0,0.11578513676636337,8,0.16,0.007707651121677499,0.0022262345341295233,7.450783623847145e-05,6.824650730649193e-09
h002_k20_rank3_baseline,0.0,0.11578513676636337,9,0.18,0.00842333938972388,0.0036397389288497016,0.00010165179408328823,1.2695246350995079e-08
h002_k20_rank3_baseline,0.0,0.11578513676636337,10,0.2,0.009244876966452749,0.0009209663576525541,2.2265136887230596e-05,6.10876414453459e-10
h002_k20_rank3_baseline,0.0,0.11578513676636337,11,0.22,0.010158247520862322,0.002741877934145642,6.999251336063645e-05,6.0179489325349995e-09
h002_k20_rank3_baseline,0.0,0.11578513676636337,12,0.24,0.011196614273529268,0.0011109710575612588,4.217324815568427e-05,2.187040862922135e-09
h002_k20_rank3_baseline,0.0,0.11578513676636337,13,0.26,0.012376815406322916,0.005043110544263745,0.00013263715271866593,2.1611842242104226e-08
h002_k20_rank3_baseline,0.0,0.11578513676636337,14,0.28,0.01367628357138476,0.0042096121305367695,0.00013108298151527246,2.112652833925154e-08
h002_k20_rank3_baseline,0.0,0.11578513676636337,15,0.3,0.015147753220723184,0.007442767483435664,0.0002121713928182854,5.532830084337529e-08
h002_k20_rank3_baseline,0.0,0.11578513676636337,16,0.32,0.016678769741383114,0.008164411952363481,0.0002564549433101499,8.090614941217278e-08
h002_k20_rank3_baseline,0.0,0.11578513676636337,17,0.34,0.0184982706443317,0.009808934822271022,0.0003052742031217268,1.146391096778242e-07
