label,epsilon,a0,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,mismatch_l2
h001_k5_eps030,0.3,0.005,0,0.0,0.005000000000000003,6.69421023496778e-05,5.094278295432326e-09,0.012639393442810598
h001_k5_eps030,0.3,0.005,1,0.01,0.005028157008975134,6.836825088267892e-05,5.330022078712644e-09,0.012766207069764703
h001_k5_eps030,0.3,0.005,2,0.02,0.005009143959477033,7.084950076713831e-05,5.706250105137185e-09,0.012688927157963884
h001_k5_eps030,0.3,0.005,3,0.03,0.00501642611754076,6.755582879456054e-05,5.192203597425735e-09,0.01279333749648526
h001_k5_eps030,0.3,0.005,4,0.04,0.005010976900430107,7.051905553855092e-05,5.651645015319226e-09,0.01275152359639502
h001_k5_eps030,0.3,0.005,5,0.05,0.005029653542117241,6.775856561673297e-05,5.224458861257529e-09,0.012874312016965433
h001_k5_eps030,0.3,0.005,6,0.06,0.005031943363410074,7.090760805835122e-05,5.71526923424901e-09,0.012842955802218158
h001_k5_eps030,0.3,0.005,7,0.07,0.005060621841385857,6.82875592938485e-05,5.307361213201126e-09,0.012981319467360166
h001_k5_eps030,0.3,0.005,8,0.08,0.005066084214366889,7.146960909098269e-05,5.8060791333158295e-09,0.012948728249819913
h001_k5_eps030,0.3,0.005,9,0.09,0.005095270646874915,6.87742026436751e-05,5.383211008181421e-09,0.013089379838061122
h001_k5_eps030,0.3,0.005,10,0.1,0.005103954241836564,7.205736203125176e-05,5.9023376361919946e-09,0.013061207001837041
h001_k5_eps030,0.3,0.005,11,0.11,0.005134909976590078,6.934615065728302e-05,5.473273116947123e-09,0.013209481769892483
h001_k5_eps030,0.3,0.005,12,0.12,0.005145320423376411,7.270189008748766e-05,6.008306817133912e-09,0.01317342491146081
h001_k5_eps030,0.3,0.005,13,0.13,0.0051579486971402915,6.954718434202272e-05,5.503643850739183e-09,0.013283645948447598
h001_k5_eps030,0.3,0.005,14,0.14,0.00522705162282553,7.417597303871247e-05,6.260004705607669e-09,0.01342808533481361
h001_k5_eps030,0.3,0.005,15,0.15,0.005240983503181103,7.087848596619913e-05,5.716244159428315e-09,0.01347103539517984
h001_k5_eps030,0.3,0.005,16,0.16,0.005247608066643181,7.414592136779916e-05,6.249920737766755e-09,0.013472636411213428
h001_k5_eps030,0.3,0.005,17,0.17,0.005234691225040024,7.046051046596754e-05,5.647197081842531e-09,0.013467234977290169
h001_k5_eps030,0.3,0.005,18,0.18,0.0052432377025132424,7.403149776793182e-05,6.231425837948511e-09,0.013476617485205135
h001_k5_eps030,0.3,0.005,19,0.19,0.005234322290384,7.050858020712904e-05,5.655301765700963e-09,0.013474087273847227
