epsilon,rho,real,imag,residual,edge_fraction
0.34,1.0017963689339209,-1.0017963689339209,0.0,1.1791552918814723e-05,0.9994571870980375
0.3425,1.0016355427709915,-1.0016355427709915,0.0,3.1615149446775897e-06,0.9994570074982042
0.345,1.0014759017559438,-1.0014759017559438,0.0,1.4008493393187852e-06,0.9994567529521254
0.3475,1.0013170270150344,-1.0013170270150344,0.0,1.2188881886967969e-06,0.9994565132915216
0.35,1.00115884975903,-1.00115884975903,0.0,1.2359875469410005e-06,0.9994562802525155
0.3525,1.0010013848057753,-1.0010013848057753,0.0,1.3355390938099282e-06,0.9994560423750158
0.355,1.0008446147557541,-1.0008446147557541,0.0,1.4501126043975618e-06,0.9994558094722641
0.3575,1.000688527872863,-1.000688527872863,0.0,1.5687256658551055e-06,0.9994555780183249
0.36,1.000533110124436,-1.000533110124436,0.0,1.7008788702866604e-06,0.9994553473034822
0.3625,1.0003783518354172,-1.0003783518354172,0.0,1.850214939660446e-06,0.9994551191519978
0.365,1.000224238376717,-1.000224238376717,0.0,2.0156772655628335e-06,0.999454892446529
0.3675,1.0000707582799324,-1.0000707582799324,0.0,2.1995941082512756e-06,0.9994546673833766
0.37,0.9999179031663396,-0.9999179031663396,0.0,2.418495829338898e-06,0.9994544444580578
0.3725,0.9997656584499178,-0.9997656584499178,0.0,2.6760032809212e-06,0.9994542227116998
0.375,0.999614018271072,-0.999614018271072,0.0,2.9887499363452538e-06,0.999454002889864
0.3775,0.9994629650352163,-0.9994629650352163,0.0,3.393252320199073e-06,0.99945378489546
0.38,0.9993124886977722,-0.9993124886977722,0.0,3.954603938366678e-06,0.9994535675872581
0.3825,0.9991625826519024,-0.9991625826519024,0.0,4.815851610551757e-06,0.9994533521216739
0.385,0.9990132304182918,-0.9990132304182918,0.0,6.284799167999389e-06,0.9994531372147932
0.3875,0.998864418273441,-0.998864418273441,0.0,9.068983744631198e-06,0.9994529212289281
0.39,0.9987161260951201,-0.9987161260951201,0.0,1.465582943112201e-05,0.999452704767814
