label,epsilon,a0,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,mismatch_l2
h001_k5_eps042,0.42,0.005,0,0.0,0.005000000000000003,4.90005555924745e-05,2.673977742785456e-09,0.013393385612234165
h001_k5_eps042,0.42,0.005,1,0.01,0.0049067289366822,4.955404359873776e-05,2.727428819178429e-09,0.013197089132258854
h001_k5_eps042,0.42,0.005,2,0.02,0.004880988066556793,4.8091023728599087e-05,2.582109570079849e-09,0.013265683501973843
h001_k5_eps042,0.42,0.005,3,0.03,0.004854282429812882,4.979489869042679e-05,2.7583761789863233e-09,0.013135707671256137
h001_k5_eps042,0.42,0.005,4,0.04,0.004844054951575109,4.7852470881690826e-05,2.5568476541739802e-09,0.01319061937916154
h001_k5_eps042,0.42,0.005,5,0.05,0.004821853092110878,4.945817240162922e-05,2.7200738443776837e-09,0.013058502548760105
h001_k5_eps042,0.42,0.005,6,0.06,0.004814722420323171,4.7546493488510806e-05,2.524363015730525e-09,0.01311267622202908
h001_k5_eps042,0.42,0.005,7,0.07,0.004790797472542009,4.909360502155196e-05,2.680621442450486e-09,0.012978088747826733
h001_k5_eps042,0.42,0.005,8,0.08,0.004784834763542281,4.7274783955775515e-05,2.4949238209056622e-09,0.013037927721466832
h001_k5_eps042,0.42,0.005,9,0.09,0.0047635806661799895,4.879707199297687e-05,2.6486766202921546e-09,0.012909107930090919
h001_k5_eps042,0.42,0.005,10,0.1,0.0047569154250247546,4.698656990540168e-05,2.464752231704559e-09,0.012967320128463961
h001_k5_eps042,0.42,0.005,11,0.11,0.004736278039380679,4.8511292701768866e-05,2.6173701040560397e-09,0.012839097873428965
h001_k5_eps042,0.42,0.005,12,0.12,0.004723074263833374,4.6578740224478156e-05,2.4220891846434002e-09,0.012890103752717283
h001_k5_eps042,0.42,0.005,13,0.13,0.004742480045405784,4.8870818136319276e-05,2.6584844426610583e-09,0.012868472175879416
h001_k5_eps042,0.42,0.005,14,0.14,0.004683768399956487,4.5819536819753515e-05,2.3407280308157702e-09,0.01271989131738827
h001_k5_eps042,0.42,0.005,15,0.15,0.004633672910219879,4.714899597131275e-05,2.472738263438842e-09,0.012602906137123743
h001_k5_eps042,0.42,0.005,16,0.16,0.004593823289821047,4.5042505685996414e-05,2.262897472770853e-09,0.012512928292294962
h001_k5_eps042,0.42,0.005,17,0.17,0.004572102032190539,4.6710368570001916e-05,2.4288517072963994e-09,0.012454843790030503
h001_k5_eps042,0.42,0.005,18,0.18,0.004546614694200337,4.473091541313601e-05,2.2321458726890467e-09,0.012393424612332058
h001_k5_eps042,0.42,0.005,19,0.19,0.004532968983655294,4.635708446434427e-05,2.391582569308282e-09,0.012357544825764366
h001_k5_eps042,0.42,0.005,20,0.2,0.00451028714288636,4.434939933339997e-05,2.1947478348521076e-09,0.012306605152766574
h001_k5_eps042,0.42,0.005,21,0.21,0.004498628099625978,4.6002029171249446e-05,2.3549705992045992e-09,0.012281245440141132
h001_k5_eps042,0.42,0.005,22,0.22,0.004478248304215164,4.4050570686030144e-05,2.1649980477972876e-09,0.012237400587004052
h001_k5_eps042,0.42,0.005,23,0.23,0.00446685137998129,4.5641636477947955e-05,2.3186184592163363e-09,0.012211694012378713
h001_k5_eps042,0.42,0.005,24,0.24,0.004452563492699593,4.386072967800668e-05,2.146393114480874e-09,0.012196823218072111
h001_k5_eps042,0.42,0.005,25,0.25,0.00442754018397709,4.510159178229839e-05,2.2631581732749518e-09,0.012112181341771314
h001_k5_eps042,0.42,0.005,26,0.26,0.004427529994297462,4.373894399824876e-05,2.135863060824475e-09,0.012193948528474677
h001_k5_eps042,0.42,0.005,27,0.27,0.004440713494704621,4.552944737428157e-05,2.306927341450048e-09,0.012132917657983112
h001_k5_eps042,0.42,0.005,28,0.28,0.004398217078388128,4.31152018049874e-05,2.073927280344426e-09,0.012101993179759003
h001_k5_eps042,0.42,0.005,29,0.29,0.004374857052598967,4.4542832583760536e-05,2.2066682384765775e-09,0.011975606852611655
h001_k5_eps042,0.42,0.005,30,0.3,0.004329151260608662,4.2399320268444155e-05,2.0059315334573845e-09,0.011947744736501183
h001_k5_eps042,0.42,0.005,31,0.31,0.004316689353188798,4.401349047072456e-05,2.15584376480862e-09,0.011852732766405404
h001_k5_eps042,0.42,0.005,32,0.32,0.0042841580387830884,4.210302489185642e-05,1.977952328117398e-09,0.0118505582332777
h001_k5_eps042,0.42,0.005,33,0.33,0.004279105851863206,4.3654717294309946e-05,2.1209264258619145e-09,0.011764561275592621
h001_k5_eps042,0.42,0.005,34,0.34,0.0042455133421687285,4.1687919352919005e-05,1.939106147412714e-09,0.011759431402403075
h001_k5_eps042,0.42,0.005,35,0.35000000000000003,0.004241116053869997,4.324482127448549e-05,2.0809913249625766e-09,0.011686622340638522
h001_k5_eps042,0.42,0.005,36,0.36,0.004207818726401251,4.129852357459104e-05,1.903129850266089e-09,0.01167667974672313
h001_k5_eps042,0.42,0.005,37,0.37,0.00420727491546269,4.29289358014724e-05,2.051187103336187e-09,0.011657182586811822
h001_k5_eps042,0.42,0.005,38,0.38,0.004182120581919674,4.108413044053835e-05,1.8830670531203264e-09,0.011612908715488899
h001_k5_eps042,0.42,0.005,39,0.39,0.0041557187499713325,4.219377400191016e-05,1.9810517783065925e-09,0.011576626350085469
h001_k5_eps042,0.42,0.005,40,0.4,0.004164173177939178,4.116284277580535e-05,1.89137550197749e-09,0.011617548630036044
h001_k5_eps042,0.42,0.005,41,0.41000000000000003,0.004155392817957751,4.23316114682856e-05,1.9944298089532496e-09,0.011595315441155756
h001_k5_eps042,0.42,0.005,42,0.42,0.004144651019098539,4.0807394576214195e-05,1.857965107567379e-09,0.011578667911960078
h001_k5_eps042,0.42,0.005,43,0.43,0.004110482678183264,4.1659445092075164e-05,1.930389349127825e-09,0.011506499314608993
h001_k5_eps042,0.42,0.005,44,0.44,0.004089393336762581,4.014933557738476e-05,1.7986084378526372e-09,0.011475766209942461
h001_k5_eps042,0.42,0.005,45,0.45,0.004058459857930441,4.113614037668478e-05,1.882625678869919e-09,0.011420374555432097
h001_k5_eps042,0.42,0.005,46,0.46,0.004048013033896113,3.9836913238051346e-05,1.7707880873058076e-09,0.011412175823324093
h001_k5_eps042,0.42,0.005,47,0.47000000000000003,0.00402460609566026,4.081407376117687e-05,1.8534773397370962e-09,0.011360888755357571
h001_k5_eps042,0.42,0.005,48,0.48,0.004011618981327888,3.944844171410762e-05,1.7361925117284898e-09,0.011356054528297391
h001_k5_eps042,0.42,0.005,49,0.49,0.003991919635119772,4.046883700861311e-05,1.8220611833213813e-09,0.011286345685385977
h001_k5_eps042,0.42,0.005,50,0.5,0.003964647986098561,3.888840753529267e-05,1.687239567870356e-09,0.011298021677552967
h001_k5_eps042,0.42,0.005,51,0.51,0.003970835915148797,4.041745443999463e-05,1.8180579796904696e-09,0.011266722061486432
h001_k5_eps042,0.42,0.005,52,0.52,0.003925713241141086,3.8373277305446204e-05,1.642191111021685e-09,0.011234199132819502
h001_k5_eps042,0.42,0.005,53,0.53,0.003925210442821322,3.98629921128457e-05,1.7684594102251573e-09,0.011211408246639147
h001_k5_eps042,0.42,0.005,54,0.54,0.0039025941831925814,3.832278905092018e-05,1.6384864544882372e-09,0.011233414538399187
h001_k5_eps042,0.42,0.005,55,0.55,0.003916011483298939,3.9868103638170506e-05,1.7694539585801668e-09,0.01123143039997383
h001_k5_eps042,0.42,0.005,56,0.56,0.0038864591579414656,3.81016766118034e-05,1.618949247716533e-09,0.011228990420931926
h001_k5_eps042,0.42,0.005,57,0.5700000000000001,0.003883726071570726,3.9385080017271803e-05,1.726034858860305e-09,0.01119210082055045
