label,alpha,alpha_c,cell,time,q,abs_q,hp_edge,hp_ahead_max,hp_ahead_energy
h002_k20_rank1_full,1.0,0.11578513683838942,0,0.0,0.0010285545804928063,0.0010285545804928063,0.0022728876417005823,4.74930271732156e-05,2.767991624957142e-09
h002_k20_rank1_full,1.0,0.11578513683838942,1,0.02,-2.945367203171373e-13,2.945367203171373e-13,0.0019115127756845658,2.7376694429372455e-05,9.20116789344295e-10
h002_k20_rank1_full,1.0,0.11578513683838942,2,0.04,-1.2951093783563142e-12,1.2951093783563142e-12,0.0011801363157973976,4.536737118487537e-05,2.529517086587507e-09
h002_k20_rank1_full,1.0,0.11578513683838942,3,0.06,-3.008533228316193e-12,3.008533228316193e-12,0.0014426709111702522,2.596108256952386e-05,8.280629346558864e-10
h002_k20_rank1_full,1.0,0.11578513683838942,4,0.08,4.085630596860346e-12,4.085630596860346e-12,0.0009447105322460734,3.518405661198287e-05,1.521689074878237e-09
h002_k20_rank1_full,1.0,0.11578513683838942,5,0.1,-4.933308942562872e-12,4.933308942562872e-12,0.0010438506275077372,1.4226444846526529e-05,2.4869944559621285e-10
h002_k20_rank1_full,1.0,0.11578513683838942,6,0.12,2.0114539950376407e-12,2.0114539950376407e-12,0.0012526013490106464,1.9774300460599727e-05,4.808044205180554e-10
h002_k20_rank1_full,1.0,0.11578513683838942,7,0.14,-4.159062688430942e-12,4.159062688430942e-12,0.0009699144533501707,6.163979919073508e-06,4.6657649722656717e-11
h002_k20_rank1_full,1.0,0.11578513683838942,8,0.16,2.292459082807452e-12,2.292459082807452e-12,0.0007925631794872218,7.745525752320572e-06,7.358574130465144e-11
h002_k20_rank1_full,1.0,0.11578513683838942,9,0.18,-6.000386927780543e-12,6.000386927780543e-12,0.0005755810217265969,1.1660804086578991e-05,1.6694220120170796e-10
h002_k20_rank1_full,1.0,0.11578513683838942,10,0.2,3.6121875347620847e-12,3.6121875347620847e-12,0.0034701392933412624,8.142252839460378e-05,8.14153161970371e-09
h002_k20_rank1_full,1.0,0.11578513683838942,11,0.22,-3.3851242121907266e-13,3.3851242121907266e-13,0.0012600566963121402,4.815334930753316e-05,2.8513350778654044e-09
h002_k20_rank1_full,1.0,0.11578513683838942,12,0.24,-2.7327261547388515e-13,2.7327261547388515e-13,0.0033895077567026987,9.022796247088529e-05,1.0001081979556057e-08
h002_k20_rank1_full,1.0,0.11578513683838942,13,0.26,-7.683743479805147e-12,7.683743479805147e-12,0.0008594261789911467,1.7692332335833325e-05,3.859011430580038e-10
h002_k20_rank1_full,1.0,0.11578513683838942,14,0.28,-2.722135749233176e-12,2.722135749233176e-12,0.0015305930986729572,4.30859510976927e-05,2.2807849849524196e-09
h002_k20_rank1_full,1.0,0.11578513683838942,15,0.3,7.6448205133927e-13,7.6448205133927e-13,0.0010212394006642322,2.0920488036554274e-05,5.370040448820265e-10
h002_k20_rank1_full,1.0,0.11578513683838942,16,0.32,2.9404340561815095e-12,2.9404340561815095e-12,0.0010692322451635525,2.180217560445984e-05,5.836951481467382e-10
h002_k20_rank1_full,1.0,0.11578513683838942,17,0.34,-7.065190853151535e-13,7.065190853151535e-13,0.0016672885412577505,5.2115178791978806e-05,3.33647271885031e-09
h002_k20_rank1_full,1.0,0.11578513683838942,18,0.36,4.004447327118216e-12,4.004447327118216e-12,0.0010534476412894535,1.951375982219451e-05,4.679336003963187e-10
h002_k20_rank1_full,1.0,0.11578513683838942,19,0.38,2.3179154450859996e-12,2.3179154450859996e-12,0.003700219573106353,0.00010488230829602737,1.3513357545408526e-08
h002_k20_rank1_full,1.0,0.11578513683838942,20,0.4,3.6878182799182646e-13,3.6878182799182646e-13,0.0028353597309413764,8.006148143310293e-05,7.877398997759783e-09
h002_k20_rank1_full,1.0,0.11578513683838942,21,0.42,5.032493356500051e-12,5.032493356500051e-12,0.002893806772440937,9.255305808075473e-05,1.0525960180375176e-08
h002_k20_rank1_full,1.0,0.11578513683838942,22,0.44,-7.168247386727528e-13,7.168247386727528e-13,0.0012483165788936472,3.909599476768543e-05,1.879272572032324e-09
h002_k20_rank1_full,1.0,0.11578513683838942,23,0.46,3.2030238921246235e-12,3.2030238921246235e-12,0.001386301113630421,1.0000903112087754e-05,1.2251355327065686e-10
h002_k20_rank1_full,1.0,0.11578513683838942,24,0.48,-4.693316048298701e-13,4.693316048298701e-13,0.0013259881527875731,3.791326343548484e-05,1.7655203987476244e-09
h002_k20_rank1_full,1.0,0.11578513683838942,25,0.5,3.5666539166534506e-12,3.5666539166534506e-12,0.004745056854468671,0.00011884868746403498,1.7349465171197516e-08
h002_k20_rank1_full,1.0,0.11578513683838942,26,0.52,-1.9349230334295142e-12,1.9349230334295142e-12,0.002594375957087092,8.830373515181315e-05,9.582728261074027e-09
h002_k20_rank1_full,1.0,0.11578513683838942,27,0.54,2.754873857247625e-12,2.754873857247625e-12,0.0042966134429578565,0.00011629900655043579,1.6618567552371615e-08
h002_k20_rank1_full,1.0,0.11578513683838942,28,0.56,2.2012194584447586e-12,2.2012194584447586e-12,0.0027005903108998325,8.640573568520211e-05,9.1747899695598e-09
h002_k20_rank1_full,1.0,0.11578513683838942,29,0.58,3.7621600171115765e-12,3.7621600171115765e-12,0.004304401798262135,0.00012394295452150205,1.8878552160429515e-08
h002_k20_rank1_full,1.0,0.11578513683838942,30,0.6,-8.157934776927694e-13,8.157934776927694e-13,0.0016428509678628755,5.745817505421013e-05,4.0581312418509255e-09
h002_k20_rank1_full,1.0,0.11578513683838942,31,0.62,3.6391419391823554e-13,3.6391419391823554e-13,0.0007503682721210805,2.264814348859808e-05,6.313296391375311e-10
