filename,bytes,sha256,role
CFL05_L250-T200-dx0.01-dt0.002-Vel1-Co0-E0.mat,34059937,8273bf4e115f62a4c9fd4b0bdf7035556ff4ca6c2b75f1de0f590eed519ad489,archived historical simulation
CFL20_L250-T200-dx0.02-dt0.001-Vel1-Co0-E0.mat,18025673,ecde913436b42c93c814136a03684af5d5cb12c1bc65825873e6cbf8b39e9656,archived historical simulation
